Código;Alimento;Unidades;Factor Correc;Agua (g);Energía (kcal);Proteínas (g);Lípidos (g);Ácidos Grasos Saturados (g);Ácidos Grasos Monoinsaturados (g);Ácidos Grasos Poliinsaturados (g);Colesterol (mg);Hidratos de Carbono (g);Fibra (g);Cenizas (g);Sodio (mg);Potasio (mg);Calcio (mg);Fósforo (mg);Hierro (mg);Zinc (mg);Niacina (mg);Folatos (µg);Vitamina A (µg RAE);Tiamina (B1) (mg);Riboflavina (B2) (mg);Vitamina B12 (µg);Vitamina C (mg);Vitamina D (UI)
A053;Quinua semilla cruda/semilla de lino;gramos;1;9,3;356,6;13,1;5,8;0,59;1,535;2,347;0;63;5,9;2,9;21;740;60;410;9,25;3,3;2,93;49;0;0,198;0,396;0;0;0
A054;Ravioles frescos;gramos;1;37,55;266,71;8,22;8,39;1,62;2,01;3,46;28;39,58;3,05;1,2;39,24;197;44,4;141,3;1,8;1,28;1,12;21,16;49,25;0,158;0,12;0,095;0;0
A055;Salvado de avena;gramos;1;6,55;335,75;17,3;7,03;1,328;2,376;2,766;0;50,82;15,4;2,89;4;566;58;734;5,41;3,11;0,93;52;0;1,17;0,22;0;0;0
A056;Salvado de trigo;gramos;1;14;171,02;16,4;5,5;0,447;0,452;1,57;0;13,98;44,7;5,42;27;1304;74;904;9,2;9,6;19,1;56;0;1,058;0,5;0;0;0
A057;Savado de trigo tipo all bran;gramos;1;3;247,88;12,5;3,32;0,54;0,74;2,04;0;42;32;7,18;258;1130;330;1130;16;6;16;41;525;1,2;1,4;20;0;0
A058;Semola - vitina - anchi;gramos;1;12,4;332,9;11,7;0,9;0,2;0,1;0,4;0;69,5;3,9;1,6;11;149;12;132;2,71;1,1;3,6;72;0;0,183;0,124;0;0;0
A059;Tapioca (harina de mandioca);gramos;1;10,99;352,1;0,19;0,02;0,005;0,005;0,003;0;87,79;0,9;0,11;1;11;20;7;1,58;0,12;0;4;0;0,004;0;0;0;0
A060;Trigo grano entero crudo;gramos;1;12,7;305,2;12,4;2;0,301;0,186;0,686;0;59,4;10,4;3,1;9;355;14;333;2,62;2,84;3,91;34;0;0,336;0,088;0;0;0
A061;Vainillas;gramos;1;6,2;400,14;10,2;8,9;2,49;4,97;0,74;0;69,81;0,19;4,7;111;138;69;339;2,28;1,04;1,79;164,6;6;1,64;3,1;4,3;0;0
A062;Torta fritas;gramos;1;13,57;468,84;6,11;28,76;11,85;9,77;6,084;68;46,39;2,44;1,42;58,66;103,2;11,66;105,56;2,94;0,96;1,77;265,34;156,64;0,541;0,156;0,09;0;0
A063;Bizcochos tipo Canale;gramos;1;9,8;388,5;11;8,5;2,89;2,7;1,74;0;67;1,4;2,3;20;73;194;110;4,01;0,9;2,5;0;34,8;0,056;0,111;0;0;0
A064;Galleta de campo;gramos;1;29,8;264,7;8,4;0,7;0,147;0,279;0,159;0;56,2;2,8;1,4;136;175;19;136;3,41;1,8;3,34;300,9;27,9;0,742;0,382;0;0;0
